Dirección,Año,Lat,Lng,Link Google Maps,ZIP,Folio
"101 W 18 ST, Hialeah, FL 33010",1976,25.83829744,-80.28410592,"https://maps.google.com/?q=25.83829744,-80.28410592",33010,0431070130350
"1801 BRIGHT DR, Hialeah, FL 33010",1959,25.83830885,-80.28285322,"https://maps.google.com/?q=25.83830885,-80.28285322",33010,0431070130490
"109 W 18 ST, Hialeah, FL 33010",1955,25.83829113,-80.28426432,"https://maps.google.com/?q=25.83829113,-80.28426432",33010,0431070130360
"5998 W 13 AVE, Hialeah, FL 33012",1960,25.87683395,-80.31002132,"https://maps.google.com/?q=25.87683395,-80.31002132",33012,0420350100160
"5925 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71115337,-80.38201024,"https://maps.google.com/?q=25.71115337,-80.38201024",33183,3040300010770
"1537 SW 1 ST, Miami, FL 33135",1925,25.77256421,-80.22041633,"https://maps.google.com/?q=25.77256421,-80.22041633",33135,0141020061050
"1344 NW 68 TER, Miami, FL 33147",1938,25.8368547,-80.2198855,"https://maps.google.com/?q=25.8368547,-80.2198855",33147,0131140160770
"360 E 52 ST, Hialeah, FL 33013",1957,25.86957786,-80.27554542,"https://maps.google.com/?q=25.86957786,-80.27554542",33013,0421310190340
"352 E 52 ST, Hialeah, FL 33013",1957,25.86957316,-80.27569628,"https://maps.google.com/?q=25.86957316,-80.27569628",33013,0421310190320
"5958 W 13 AVE, Hialeah, FL 33012",1960,25.87622192,-80.30999097,"https://maps.google.com/?q=25.87622192,-80.30999097",33012,0420350100130
"1319 NW 68 ST, Miami, FL 33147",1948,25.83656579,-80.21939326,"https://maps.google.com/?q=25.83656579,-80.21939326",33147,0131140160850
"5745 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71322278,-80.38212076,"https://maps.google.com/?q=25.71322278,-80.38212076",33183,3040300010180
"1320 NW 68 TER, Miami, FL 33147",1958,25.8368732,-80.21940517,"https://maps.google.com/?q=25.8368732,-80.21940517",33147,0131140160800
"1563 SW 2 ST, Miami, FL 33135",1925,25.77162851,-80.22085764,"https://maps.google.com/?q=25.77162851,-80.22085764",33135,0141020061560
"393 E 51 ST, Hialeah, FL 33013",1959,25.86917962,-80.27512738,"https://maps.google.com/?q=25.86917962,-80.27512738",33013,0421310190410
"5958 W 13 CT, Hialeah, FL 33012",1960,25.87622022,-80.31076001,"https://maps.google.com/?q=25.87622022,-80.31076001",33012,0420350100210
"1331 NW 68 ST, Miami, FL 33147",1950,25.83656128,-80.2195473,"https://maps.google.com/?q=25.83656128,-80.2195473",33147,0131140160860
"6820 NW 13 AVE, Miami, FL 33147",1952,25.83688254,-80.21908694,"https://maps.google.com/?q=25.83688254,-80.21908694",33147,0131140160820
"134 W 19 ST, Hialeah, FL 33010",1958,25.83865217,-80.28473672,"https://maps.google.com/?q=25.83865217,-80.28473672",33010,0431070130340
"1351 NW 55 TER, Miami, FL 33142",1950,25.82629422,-80.21937385,"https://maps.google.com/?q=25.82629422,-80.21937385",33142,0131140410960
"5984 W 13 CT, Hialeah, FL 33012",1960,25.87662792,-80.31077849,"https://maps.google.com/?q=25.87662792,-80.31077849",33012,0420350100230
"1341 NW 56 ST, Miami, FL 33142",1941,25.82702361,-80.21924777,"https://maps.google.com/?q=25.82702361,-80.21924777",33142,0131140411001
"3674 NW 12 TER, Miami, FL 33125",1947,25.78386681,-80.25559134,"https://maps.google.com/?q=25.78386681,-80.25559134",33125,0131330040640
"3654 NW 12 TER, Miami, FL 33125",1947,25.78388173,-80.25518435,"https://maps.google.com/?q=25.78388173,-80.25518435",33125,0131330040620
"190 SW 13 AVE, Miami, FL 33135",1970,25.77175528,-80.21670021,"https://maps.google.com/?q=25.77175528,-80.21670021",33135,0141020061650
"5905 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71135556,-80.38202099,"https://maps.google.com/?q=25.71135556,-80.38202099",33183,3040300010780
"3614 NW 12 TER, Miami, FL 33125",1947,25.78390471,-80.25441787,"https://maps.google.com/?q=25.78390471,-80.25441787",33125,0131330040580
"3600 NW 12 TER, Miami, FL 33125",1947,25.78390721,-80.25421243,"https://maps.google.com/?q=25.78390721,-80.25421243",33125,0131330040570
"5182 E 4 AVE, Hialeah, FL 33013",1939,25.86971433,-80.27504725,"https://maps.google.com/?q=25.86971433,-80.27504725",33013,0421310190370
"1321 NW 56 ST, Miami, FL 33142",1949,25.82703401,-80.21894035,"https://maps.google.com/?q=25.82703401,-80.21894035",33142,0131140410990
"131 W 18 ST, Hialeah, FL 33010",1958,25.8382798,-80.28463782,"https://maps.google.com/?q=25.8382798,-80.28463782",33010,0431070130380
"3575 NW 12 ST, Miami, FL 33125",1947,25.78365141,-80.25382565,"https://maps.google.com/?q=25.78365141,-80.25382565",33125,0131330040650
"374 E 52 ST, Hialeah, FL 33013",1942,25.86958543,-80.27530277,"https://maps.google.com/?q=25.86958543,-80.27530277",33013,0421310190360
"5970 W 13 AVE, Hialeah, FL 33012",1960,25.87642197,-80.31000007,"https://maps.google.com/?q=25.87642197,-80.31000007",33012,0420350100140
"125 SW 17 AVE, Miami, FL 33135",1930,25.77172495,-80.22254968,"https://maps.google.com/?q=25.77172495,-80.22254968",33135,0141020061330
"117 W 18 ST, Hialeah, FL 33010",1957,25.83828767,-80.28441777,"https://maps.google.com/?q=25.83828767,-80.28441777",33010,0431070130370
"5971 W 14 AVE, Hialeah, FL 33012",1960,25.87641774,-80.31108339,"https://maps.google.com/?q=25.87641774,-80.31108339",33012,0420350100190
"5701 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71387152,-80.38215388,"https://maps.google.com/?q=25.71387152,-80.38215388",33183,3040300010210
"359 E 51 ST, Hialeah, FL 33013",1959,25.86922326,-80.27553284,"https://maps.google.com/?q=25.86922326,-80.27553284",33013,0421310190440
"5625 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71429992,-80.382176,"https://maps.google.com/?q=25.71429992,-80.382176",33183,3040300010230
"148 W 19 ST, Hialeah, FL 33010",1960,25.83864732,-80.28488748,"https://maps.google.com/?q=25.83864732,-80.28488748",33010,0431070130330
"5998 W 13 CT, Hialeah, FL 33012",1960,25.87683427,-80.31079076,"https://maps.google.com/?q=25.87683427,-80.31079076",33012,0420350100240
"1313 NW 68 ST, Miami, FL 33147",1950,25.83657214,-80.21924105,"https://maps.google.com/?q=25.83657214,-80.21924105",33147,0131140160840
"3565 NW 12 ST, Miami, FL 33125",1947,25.78365436,-80.25361495,"https://maps.google.com/?q=25.78365436,-80.25361495",33125,0131330040660
"1227 SW 1 ST, Miami, FL 33135",1968,25.77273568,-80.21536294,"https://maps.google.com/?q=25.77273568,-80.21536294",33135,0141020060730
"1342 SW 1 ST, Miami, FL 33135",1920,25.77212414,-80.21723951,"https://maps.google.com/?q=25.77212414,-80.21723951",33135,0141020061670
"5959 W 14 AVE, Hialeah, FL 33012",1960,25.8762176,-80.31107346,"https://maps.google.com/?q=25.8762176,-80.31107346",33012,0420350100200
"1342 NW 68 TER, Miami, FL 33147",1971,25.83686029,-80.21972376,"https://maps.google.com/?q=25.83686029,-80.21972376",33147,0131140160780
"5845 SW 117 AVE, Unincorporated County, FL 33183",2023,25.71176878,-80.38204296,"https://maps.google.com/?q=25.71176878,-80.38204296",33183,3040300010800
"3615 NW 12 ST, Miami, FL 33125",1947,25.78363005,-80.25440844,"https://maps.google.com/?q=25.78363005,-80.25440844",33125,0131330040550
"3635 NW 12 ST, Miami, FL 33125",1988,25.78361938,-80.25478962,"https://maps.google.com/?q=25.78361938,-80.25478962",33125,0131330040530
"5985 W 14 AVE, Hialeah, FL 33012",1960,25.87662415,-80.31109332,"https://maps.google.com/?q=25.87662415,-80.31109332",33012,0420350100180
"1331 NW 56 ST, Miami, FL 33142",1958,25.82702881,-80.21909308,"https://maps.google.com/?q=25.82702881,-80.21909308",33142,0131140411000
"160 W 19 ST, Hialeah, FL 33010",1994,25.83864197,-80.28503901,"https://maps.google.com/?q=25.83864197,-80.28503901",33010,0431070130320
"1309 NW 55 TER, Miami, FL 33142",1960,25.82630618,-80.21891527,"https://maps.google.com/?q=25.82630618,-80.21891527",33142,0131140410972
"6001 SW 117 AVE, Unincorporated County, FL 33183",1958,25.7107436,-80.38198885,"https://maps.google.com/?q=25.7107436,-80.38198885",33183,3040300010750
"1365 NW 55 TER, Miami, FL 33142",1946,25.82628541,-80.21971105,"https://maps.google.com/?q=25.82628541,-80.21971105",33142,0131140410940
"373 E 51 ST, Hialeah, FL 33013",1959,25.8692312,-80.27529021,"https://maps.google.com/?q=25.8692312,-80.27529021",33013,0421310190420
"366 E 52 ST, Hialeah, FL 33013",1962,25.86958155,-80.27542697,"https://maps.google.com/?q=25.86958155,-80.27542697",33013,0421310190350
"1301 NW 68 ST, Miami, FL 33147",1950,25.83658063,-80.2190714,"https://maps.google.com/?q=25.83658063,-80.2190714",33147,0131140160830
"3644 NW 12 TER, Miami, FL 33125",1947,25.78388648,-80.25499157,"https://maps.google.com/?q=25.78388648,-80.25499157",33125,0131330040610
"1321 NW 55 TER, Miami, FL 33142",1960,25.8263015,-80.21907057,"https://maps.google.com/?q=25.8263015,-80.21907057",33142,0131140410971
"1398 SW 1 ST, Miami, FL 33135",2009,25.77210903,-80.21760824,"https://maps.google.com/?q=25.77210903,-80.21760824",33135,0141020061680
"365 E 51 ST, Hialeah, FL 33013",1959,25.86922713,-80.27541439,"https://maps.google.com/?q=25.86922713,-80.27541439",33013,0421310190430
"5999 W 14 AVE, Hialeah, FL 33012",1960,25.87683317,-80.31110179,"https://maps.google.com/?q=25.87683317,-80.31110179",33012,0420350100170
"45 W 18 ST, Hialeah, FL 33010",1969,25.83823336,-80.28271397,"https://maps.google.com/?q=25.83823336,-80.28271397",33010,0431070130480
"5725 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71366114,-80.38214314,"https://maps.google.com/?q=25.71366114,-80.38214314",33183,3040300010200
"5855 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71156102,-80.38203191,"https://maps.google.com/?q=25.71156102,-80.38203191",33183,3040300010790
"5180 E 4 AVE, Hialeah, FL 33013",1967,25.86959492,-80.27504009,"https://maps.google.com/?q=25.86959492,-80.27504009",33013,0421310190380
"1640 SW 1 ST, Miami, FL 33135",1971,25.77201329,-80.22214813,"https://maps.google.com/?q=25.77201329,-80.22214813",33135,0141020061270
"120 SW 15 AVE, Miami, FL 33135",1926,25.77192409,-80.2198634,"https://maps.google.com/?q=25.77192409,-80.2198634",33135,0141020061450
"5970 W 13 CT, Hialeah, FL 33012",1960,25.87642151,-80.31076928,"https://maps.google.com/?q=25.87642151,-80.31076928",33012,0420350100220
"5635 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71408971,-80.38216502,"https://maps.google.com/?q=25.71408971,-80.38216502",33183,3040300010220
"3601 NW 12 ST, Miami, FL 33125",1947,25.78363767,-80.25420596,"https://maps.google.com/?q=25.78363767,-80.25420596",33125,0131330040560
"1536 SW FLAGLER TER, Miami, FL 33135",1938,25.77274945,-80.22041991,"https://maps.google.com/?q=25.77274945,-80.22041991",33135,0141020061060
"1341 NW 55 TER, Miami, FL 33142",1959,25.82629811,-80.21922272,"https://maps.google.com/?q=25.82629811,-80.21922272",33142,0131140410970
"1310 NW 68 TER, Miami, FL 33147",1954,25.83688019,-80.2192534,"https://maps.google.com/?q=25.83688019,-80.2192534",33147,0131140160810
"5735 SW 117 AVE, Unincorporated County, FL 33183",1958,25.71344361,-80.38213203,"https://maps.google.com/?q=25.71344361,-80.38213203",33183,3040300010190
"5610 NW 13 AVE, Miami, FL 33142",1939,25.82704274,-80.2186793,"https://maps.google.com/?q=25.82704274,-80.2186793",33142,0131140410980
"3624 NW 12 TER, Miami, FL 33125",1947,25.78389809,-80.25460514,"https://maps.google.com/?q=25.78389809,-80.25460514",33125,0131330040590
"1337 NW 68 ST, Miami, FL 33147",1945,25.8365541,-80.21970914,"https://maps.google.com/?q=25.8365541,-80.21970914",33147,0131140160870
"1880 BRIGHT DR, Hialeah, FL 33010",1983,25.83860034,-80.28379643,"https://maps.google.com/?q=25.83860034,-80.28379643",33010,0431070130420
"3664 NW 12 TER, Miami, FL 33125",1947,25.7838758,-80.25538189,"https://maps.google.com/?q=25.7838758,-80.25538189",33125,0131330040630
"5546 NW 13 AVE, Miami, FL 33142",1938,25.82637833,-80.21864855,"https://maps.google.com/?q=25.82637833,-80.21864855",33142,0131140410974
"1810 BRIGHT DR, Hialeah, FL 33010",1955,25.83821688,-80.2833931,"https://maps.google.com/?q=25.83821688,-80.2833931",33010,0431070130450
"5984 W 13 AVE, Hialeah, FL 33012",1960,25.87662708,-80.31000948,"https://maps.google.com/?q=25.87662708,-80.31000948",33012,0420350100150
"1553 SW 2 ST, Miami, FL 33135",2009,25.77163573,-80.2206278,"https://maps.google.com/?q=25.77163573,-80.2206278",33135,0141020061570
"353 E 51 ST, Hialeah, FL 33013",1959,25.86921926,-80.27565488,"https://maps.google.com/?q=25.86921926,-80.27565488",33013,0421310190450
"5935 SW 117 AVE, Unincorporated County, FL 33183",1958,25.7109525,-80.38199955,"https://maps.google.com/?q=25.7109525,-80.38199955",33183,3040300010760
"1301 NW 55 TER, Miami, FL 33142",1961,25.82624339,-80.21864322,"https://maps.google.com/?q=25.82624339,-80.21864322",33142,0131140410973
"5166 E 4 AVE, Hialeah, FL 33013",1937,25.86941657,-80.27503321,"https://maps.google.com/?q=25.86941657,-80.27503321",33013,0421310190390
"127 SW 16 AVE, Miami, FL 33135",1926,25.77175558,-80.22108926,"https://maps.google.com/?q=25.77175558,-80.22108926",33135,0141020061550
"3634 NW 12 TER, Miami, FL 33125",1947,25.78389291,-80.25479879,"https://maps.google.com/?q=25.78389291,-80.25479879",33125,0131330040600
"1330 NW 68 TER, Miami, FL 33147",2013,25.83686832,-80.21956059,"https://maps.google.com/?q=25.83686832,-80.21956059",33147,0131140160790
"110 SW 15 AVE, Miami, FL 33135",1924,25.77205575,-80.21986623,"https://maps.google.com/?q=25.77205575,-80.21986623",33135,0141020061440
"1391 NW 55 TER, Miami, FL 33142",1946,25.82627472,-80.22022489,"https://maps.google.com/?q=25.82627472,-80.22022489",33142,0131140410920
"1847 W 2 AVE, Hialeah, FL 33010",1955,25.8383712,-80.28564722,"https://maps.google.com/?q=25.8383712,-80.28564722",33010,0431070130400
"1353 NW 68 ST, Miami, FL 33147",1945,25.83654235,-80.22003151,"https://maps.google.com/?q=25.83654235,-80.22003151",33147,0131140160890
